"","logFC","PValue","FDR"
"LAMTOR4",-0.357627970737995,0.000222392472486022,0.0149968270544724
"EBNA1BP2",-0.295060569431474,0.000223009591164456,0.0149968270544724
"ELOB",-0.265797851431762,0.000224593672978075,0.0149968270544724
"TIMM17B",-0.338959270079322,0.000230490867716862,0.0150986293410168
"TMEM9",-0.334606110281017,0.000233314836229049,0.0151279066454971
"CD81",-0.312319466005432,0.000244083207419317,0.0154621790788076
"SRGN",-0.337458671825444,0.000252161019419238,0.0156297508997577
"AURKA",-0.513403476904547,0.000252338572075056,0.0156297508997577
"NOC2L",-0.303834596267283,0.000253383623591563,0.0156297508997577
"GPI",-0.263916761570204,0.000256486819680111,0.0156297508997577
"FKBP10",-0.338799586893382,0.000260615215480715,0.0156297508997577
"SZRD1",-0.278958176107375,0.000262872750107928,0.0156297508997577
"MRPL27",-0.277662285618874,0.000265725781352671,0.0156297508997577
"MVK",-0.368847423703185,0.000272044672350525,0.0157207446878102
"MVD",-0.394956319263186,0.000272293943609199,0.0157207446878102
"ERG28",-0.349525096459174,0.000274037547863903,0.0157668803478799
"RPL26L1",-0.309765630625613,0.000278164775210514,0.015903555535527
"CAD",-0.261130057405657,0.000278572897627883,0.015903555535527
"FARSB",-0.292931278160216,0.000280780003162208,0.0159774867191861
"SLIRP",-0.373929191184096,0.000281431413000636,0.0159774867191861
"TMEM14B",-0.305958725148356,0.000288076533992451,0.0161022575363953
"ATP5MC3",-0.312667972985357,0.000296202184711398,0.0161699868881156
"S100A10",-0.310279250023377,0.000296689748656588,0.0161699868881156
"ANXA6",-0.323718805796546,0.000302712789517124,0.0163241266283667
"ALDOA",-0.256804413337881,0.000304847052830967,0.0163891205897895
"OGDH",-0.238663821689414,0.000314802298603152,0.0165396642129851
"UQCR10",-0.328516552238372,0.000326297158677714,0.0168405589117554
"FBLN1",-0.359176729940751,0.000328704323789446,0.0169220628957398
"CCDC167",-0.44174362567239,0.000334805507666662,0.0169795408577946
"ARL2",-0.358270057014868,0.000347212702024005,0.0171452202920146
"GPX3",-0.491442687882831,0.000350892494392198,0.0171979395692752
"CUEDC2",-0.30260700369081,0.000362928555154567,0.0174483487997699
"TP53",-0.289352780445603,0.000374381354215384,0.0176138001744737
"MFGE8",-0.267448355970035,0.000375683459992075,0.0176138001744737
"TMEM109",-0.267332614020666,0.000380013149417952,0.0176516107904639
"VARS1",-0.274858216277901,0.000384058398157121,0.0176834924916876
"S100A16",-0.282671643803528,0.000385133986404305,0.0176834924916876
"TIMP2",-0.337337717150609,0.000387621324800667,0.0176834924916876
"LRP1",-0.286093332589484,0.000389770164560816,0.0176977937440894
"MDH1",-0.323934794657104,0.000393493807240074,0.0176977937440894
"PFKP",-0.236547537613836,0.000398193333090773,0.0176977937440894
"UROD",-0.326503076126016,0.000398213351347697,0.0176977937440894
"RNASEH2A",-0.406096057093112,0.000405047929865327,0.0176977937440894
"HIGD1A",-0.319965052363123,0.00040884740998531,0.0177410262532479
"KIF23",-0.357018967004021,0.000411880473396675,0.0177572086785516
"GALNT2",-0.25370638569464,0.00041443333690523,0.0177572086785516
"CAV2",-0.297246230167699,0.000422332130079266,0.0179545627122775
"CCL26",-0.543731319463527,0.000425379837359913,0.0179545627122775
"TMED9",-0.265905151032917,0.000425748549296223,0.0179545627122775
"NSDHL",-0.293495986418816,0.000429102290084571,0.0179682506109528
"ANXA1",-0.242824517464333,0.000433041369925569,0.0179682506109528
"POLR2G",-0.256706659618974,0.000433271677673252,0.0179682506109528
"COA3",-0.303575491442738,0.000446292833752146,0.0180625823566869
"RUVBL2",-0.252363701360792,0.000449544366817659,0.0180625823566869
"PARK7",-0.287932817326075,0.000453555524965143,0.0180625823566869
"DHCR24",-0.38320589844481,0.000455039811569749,0.0180625823566869
"ANP32A",-0.296646148516337,0.000456193238537116,0.0180691422659333
"GHITM",-0.229099617618867,0.000464952874665245,0.0181561588486746
"TARS2",-0.343228177232802,0.000465086697064731,0.0181561588486746
"ESYT1",-0.270301675409149,0.000479433110885358,0.0183916368068885
"HYCC1",-0.29920363458337,0.0004843776503469,0.0184231640852419
"DYSF",-0.927296068433892,0.00048620278647885,0.0184231640852419
"PSME2",-0.265812639981036,0.000495702218828145,0.0184945518724906
"LRPAP1",-0.280554559246822,0.000496190866293365,0.0184945518724906
"PEF1",-0.272708761798148,0.000496383321284678,0.0184945518724906
"TTF2",-0.327547257769436,0.000499769023285937,0.0185041291628949
"CSRP1",-0.249285264804838,0.000507677971574975,0.0185177631408739
"ARL6IP5",-0.241460937338672,0.000508130298166326,0.0185177631408739
"PTTG1",-0.383368043341853,0.000509158926548709,0.0185177631408739
"PSMB7",-0.222344913264086,0.000538958929285515,0.018927984869426
"TK1",-0.613900007981084,0.000544670191173333,0.018996534756315
"GSS",-0.256718019533851,0.000560245400175614,0.0190520723607142
"MYH9",-0.226528570570892,0.000561728155470595,0.0190707641885515
"SIGMAR1",-0.2404842110782,0.000564660800177439,0.0190837668031786
"GPS1",-0.238423341202702,0.000566769040808936,0.0191148938218697
"KIF4A",-0.507504221261058,0.000571828076912262,0.0191411002770638
"PSENEN",-0.299394708082357,0.000575429520555943,0.0191411002770638
"LINP1",-0.391895814550874,0.000577103879699167,0.0191411002770638
"PNPO",-0.306148561265154,0.00057878461548221,0.0191411002770638
"DTYMK",-0.345129065391856,0.0005868293434091,0.0193133947191549
"EMC4",-0.22994329744175,0.000588003799436529,0.0193161427075264
"EEF1A1",-0.200840662187788,0.000592703629306242,0.019357483815724
"DLGAP5",-0.594915182007558,0.000594074435992034,0.0193647421416351
"ARHGEF39",-0.490263426324065,0.000595872172653271,0.0193659889834288
"ADH5",-0.253125598578227,0.000599679163318053,0.0193977642046503
"MSN",-0.214952469123757,0.000604192355288832,0.01942841043897
